Field=#~Integer~#~50|Field=Fitted~String~Fitted~146|Field=Alternate Manufacturer~String~Alternate Manufacturer~146|Field=Alternate PartNumber~String~Alternate PartNumber~146|Field=Description~String~Description~146|Field=Designator~String~Designator~146|Field=Footprint~String~Footprint~146|Field=LibRef~String~LibRef~146|Field=Manufacturer~String~Manufacturer~146|Field=PartNumber~String~PartNumber~146|Field=Quantity~Integer~Quantity~146|Field=RoHS~String~RoHS~146|Field=Supplier 1~String~Supplier 1~146|Field=Supplier 2~String~Supplier 2~146|Field=Supplier Currency 1~String~Supplier Currency 1~146|Field=Supplier Part Number 1~String~Supplier Part Number 1~146|Field=Supplier Part Number 2~String~Supplier Part Number 2~146|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~146|Field=Library Name~String~Library Name~146|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~TIDA01398.PrjPcb|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398.PrjPcb|ReportField=Title~EVM Assembly Bill of Materials For Project [TIDA01398.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~121|ReportField=ReportTime~2:09:53 PM|ReportField=ReportDate~1/19/2017|ReportField=ReportDateTime~1/19/2017 2:09:53 PM|ReportField=OutputName~EVM Assembly Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=CopyrightYear~2016|ReportField=EVM_Orderable~N/A|ReportField=PCB_Layout~Krypton Solutions|ReportField=PCB_Rev~E1|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Gustavo Martinez|ReportField=PRJ_Number~ISE4047|ReportField=PRJ_Title~Wireless PIR Motion Detector w/ BLE Connectivity|ReportField=SCH_Rev~E1|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~TIDA-00759|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/19/2017|ReportField=CurrentTime~12:44:06 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398_CoverSheet.SchDoc|ReportField=DocumentName~TIDA01398_CoverSheet.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Gustavo Martinez|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/19/2017|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.64:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=1200:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=Letter:PaperIndex=1|ReportField=ProjectName~TIDA01398.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~4|ReportField=Time~Not shown in title block|ReportField=Title~Cover Sheet|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~TIDA01398.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\AD16\Examples\TIDA-01398\TIDA01398.PrjPcb
14|Fitted|||CAP, CERM, 10 µF, 6.3 V, +/- 20%, X5R, 0603|C23|0603|C1608X5R0J106M|TDK|C1608X5R0J106M|1|Y|Digi-Key|Farnell|Loading...|445-4112-1-ND|1844199||Capacitor_Ceramic.IntLib
15|Fitted|||CAP, CERM, 10 µF, 6.3 V, +/- 20%, X5R, 0402|C24|0402|GRM155R60J106ME44D|MuRata|GRM155R60J106ME44D|1|Y|Mouser||Loading...|81-GRM155R60J106ME4D|||Capacitor_Ceramic.IntLib
16|Fitted|||CAP, CERM, 1 µF, 16 V, +/- 10%, X7R, 0603|C25|0603|C1608X7R1C105K|TDK|C1608X7R1C105K|1|Y|Digi-Key|Farnell|Loading...|445-1604-1-ND|1907343||Capacitor_Ceramic.IntLib
17|Fitted|||CAP, CERM, 1 µF, 10 V, +/- 10%, X5R, 0402|C26|0402|C1005X5R1A105K050BB|TDK|C1005X5R1A105K050BB|1|Y|Digi-Key|Mouser|Loading...|445-4114-1-ND|810-C1005X5R1A105K||Capacitor_Ceramic.IntLib
18|Fitted|||CAP, CERM, 0.1 µF, 50 V, +/- 10%, X7R, 0402|C27, C28|0402|C1005X7R1H104K050BB|TDK|C1005X7R1H104K050BB|2|Y|Digi-Key|Mouser|Loading...|445-5932-1-ND|810-C1005X7R1H104K||Capacitor_Ceramic.IntLib
19|Fitted|||CAP, CERM, 0.01 µF, 16 V, +/- 10%, X7R, 0402|C29, C30|0402|C1005X7R1C103K050BA|TDK|C1005X7R1C103K050BA|2|Y|Digi-Key|Farnell|Loading...|445-1262-1-ND|1844125||Capacitor_Ceramic.IntLib
20|Fitted|||CAP, CERM, 1000 pF, 50 V, +/- 10%, X7R, 0402|C31, C37, C40, C43, C45|0402|C1005X7R1H102K|TDK|C1005X7R1H102K|5|Y|Digi-Key|Farnell|Loading...|445-1256-1-ND|1907278||Capacitor_Ceramic.IntLib
21|Fitted|||CAP, CERM, 100 pF, 25 V, +/- 5%, C0G/NP0, 0402|C32|0402|C0402C101J3GACTU|Kemet|C0402C101J3GACTU|1|Y|Digi-Key|Mouser|Loading...|399-1022-1-ND|80-C0402C101J3G||Capacitor_Ceramic.IntLib
22|Fitted|||CAP, CERM, 33 µF, 10 V, +/- 20%, X5R, 0805|C33|0805_HV|C2012X5R1A336M125AC|TDK|C2012X5R1A336M125AC|1|Y|Digi-Key||Loading...|445-8238-1-ND|||Capacitor_Ceramic.IntLib
23|Fitted|||CAP, CERM, 0.01 µF, 25 V, +/- 10%, X7R, 0402|C34|0402|C1005X7R1E103K|TDK|C1005X7R1E103K|1|Y|Digi-Key|Farnell|Loading...|445-1260-1-ND|1844133||Capacitor_Ceramic.IntLib
24|Fitted|||CAP, CERM, 0.1 µF, 50 V, +/- 10%, X7R, 0402|C35, C38, C39, C42, C44, C46, C47|0402|C1005X7R1H104K|TDK|C1005X7R1H104K|7|Y|Digi-Key|Farnell|Loading...|445-5932-1-ND|1907278||Capacitor_Ceramic.IntLib
25|Fitted|||CAP, CERM, 3.3 µF, 10 V, +/- 10%, X5R, 0402|C36|0402|C1005X5R1A335K050BC|TDK|C1005X5R1A335K050BC|1|Y|Digi-Key||Loading...|445-13819-1-ND|||Capacitor_Ceramic.IntLib
26|Fitted|||CAP, CERM, 1000 pF, 25 V, +/- 5%, C0G/NP0, 0402|C41|0402|C1005C0G1E102J|TDK|C1005C0G1E102J|1|Y|Digi-Key|Farnell|Loading...|445-2651-1-ND|1844079||Capacitor_Ceramic.IntLib
27|Fitted|||Diode, Switching, 75 V, 0.3 A, SOD-523|D1, D2|SOD-523|1N4148X-TP|Micro Commercial Components|1N4148X-TP|2|Y|Digi-Key|Mouser|Loading...|1N4148XTPMSCT-ND|833-1N4148X-TP||Diode.IntLib
28|Fitted|||2.4GHz PCB Antenna.  There is nothing to buy or mount.|E1|ANTENNA_DN007A|ANTENNA_DN007A|N/A|ANTENNA_DN007A|1||||||||Other_Passive.IntLib
29|Fitted|||Fiducial mark.  There is nothing to buy or mount.|FID1, FID2, FID3, FID4, FID5, FID6|Fiducial10-20|Fiducial|N/A|N/A|6||||||||MiscParts.IntLib
30|Fitted|||Standoff, Hex, 0.5"L #4-40 Nylon|H1, H3, H5, H7|Keystone_1902C|1902C|Keystone|1902C|4|Y|Digi-Key||Loading...|36-1902C-ND|||Hardware.IntLib
31|Fitted|||Machine Screw, Round, #4-40 x 1/4, Nylon, Philips panhead|H2, H4, H6, H8|NY PMS 440 0025 PH|NY PMS 440 0025 PH|B&F Fastener Supply|NY PMS 440 0025 PH|4|Y|Digi-Key||Loading...|H542-ND|||Hardware.IntLib
32|Fitted|||Lens, Ceiling Mount, TH|H9|Murata_IML-0669|IML-0669|MuRata|IML-0669|1|Y|Farnell||Loading...|1777666|||Hardware.IntLib
